iter	Logloss
0	0.6560069433
1	0.6240486922
2	0.6085492979
3	0.5960621432
4	0.5561038678
5	0.5258263918
6	0.5071239125
7	0.5016617362
8	0.4813498202
9	0.4725646584
10	0.4521486373
11	0.4359317009
12	0.4266224119
13	0.4238067208
14	0.4207043714
15	0.4179930939
16	0.4115972248
17	0.4088650489
18	0.4060844288
19	0.4034764861
20	0.3988344012
21	0.3971319126
22	0.3915911343
23	0.3893945111
24	0.3854436818
25	0.3836868529
26	0.3768097132
27	0.3745181343
28	0.3728567143
29	0.3711240267
30	0.3690286121
31	0.3673470742
32	0.3655631673
33	0.3640293227
34	0.3628801896
35	0.3611751227
36	0.3593462346
37	0.3564563886
38	0.3546187974
39	0.3528935143
40	0.351228576
41	0.3496981513
42	0.3482226191
43	0.3468319779
44	0.3453826034
45	0.3438285427
46	0.3423518958
47	0.3410980596
48	0.3398711177
49	0.3385795838
50	0.3378231819
51	0.3367690564
52	0.3358564077
53	0.3349067597
54	0.3337092111
55	0.3328617549
56	0.3315807951
57	0.3303363439
58	0.3294277475
59	0.3286778865
60	0.3280158868
61	0.3273195863
62	0.3266139851
63	0.3244963056
64	0.3233354764
65	0.3226572982
66	0.3220476763
67	0.3213496426
68	0.3205196095
69	0.3198061303
70	0.3190644535
71	0.3182642052
72	0.317674554
73	0.3168728542
74	0.316299299
75	0.3154401782
76	0.3145519556
77	0.3137874767
78	0.3079616294
79	0.307412516
80	0.306804391
81	0.3062363283
82	0.305544405
83	0.3049650002
84	0.3045096025
85	0.3034325943
86	0.3026192569
87	0.3017790866
88	0.3012541304
89	0.3004956763
90	0.2996862892
91	0.2992027456
92	0.2983551361
93	0.2978893585
94	0.2973302431
95	0.2967057456
96	0.2960347978
97	0.2955164893
98	0.2947692929
99	0.2942247394
100	0.293686527
101	0.2932651873
102	0.2926071631
103	0.2920203788
104	0.291585744
105	0.2912139114
106	0.2906658374
107	0.2901140851
108	0.2896362534
109	0.289176887
110	0.2869451025
111	0.2865511464
112	0.2860017343
113	0.2856688444
114	0.2849844035
115	0.284370312
116	0.2839150311
117	0.2832968853
118	0.2828499801
119	0.2824165363
120	0.2817087533
121	0.2809398389
122	0.2805823672
123	0.2800804611
124	0.2796629859
125	0.279241285
126	0.2787967507
127	0.2785478628
128	0.2780626334
129	0.2777533578
130	0.2773722535
131	0.2771192761
132	0.2767953517
133	0.276391813
134	0.2759729402
135	0.2754607515
136	0.275057852
137	0.2746013783
138	0.2743571914
139	0.2739489304
140	0.2734368567
141	0.2707430033
142	0.2701843958
143	0.2697750163
144	0.2694074844
145	0.2690969508
146	0.2684911766
147	0.2680952622
148	0.2676975356
149	0.267061361
150	0.2665265217
151	0.266073086
152	0.265342506
153	0.2650593939
154	0.2647108498
155	0.2643074102
156	0.2630830978
157	0.2627596798
158	0.2622251096
159	0.2616979863
160	0.2611067819
161	0.2607734918
162	0.2604564126
163	0.2599852795
164	0.2596965347
165	0.2591640868
166	0.2587644186
167	0.2583698551
168	0.2580493623
169	0.2575329257
170	0.2569649617
171	0.2566578421
172	0.2562687351
173	0.2558556325
174	0.2554435394
175	0.2549160677
176	0.2545785275
177	0.2539734253
178	0.2535092754
179	0.2532907081
180	0.2526778223
181	0.2522903301
182	0.251923022
183	0.2514066977
184	0.2511240464
185	0.2502604424
186	0.2499465041
187	0.2495956813
188	0.2493074191
189	0.2488149362
190	0.2485821295
191	0.2482670147
192	0.2480799986
193	0.2477719334
194	0.2472323336
195	0.2468035205
196	0.2463272758
197	0.2460574213
198	0.2455981775
199	0.2451526214
200	0.244802557
201	0.2444148452
202	0.2439285584
203	0.2436482053
204	0.2433203696
205	0.2428338106
206	0.2425393642
207	0.2422231261
208	0.241965894
209	0.2416850949
210	0.241280348
211	0.2408966615
212	0.2405740288
213	0.2402389107
214	0.2397438828
215	0.2393139705
216	0.2390522459
217	0.2387384938
218	0.2383491821
219	0.2381586065
220	0.2378098868
221	0.237649354
222	0.2373087026
223	0.2370851694
224	0.2367182071
225	0.2365251589
226	0.2362696818
227	0.2358652666
228	0.2354773677
229	0.2352941375
230	0.2349491324
231	0.2345153198
232	0.2341824037
233	0.2338073361
234	0.2335498815
235	0.2330927172
236	0.2327928886
237	0.232466644
238	0.2322301483
239	0.2319166285
240	0.2317369063
241	0.2313694271
242	0.2311599031
243	0.2308259384
244	0.2304661902
245	0.2302690502
246	0.2298478978
247	0.2295579342
248	0.2292546523
249	0.2288937757
250	0.2284876662
251	0.2282742446
252	0.2279831882
253	0.2276741407
254	0.2273329495
255	0.2268810669
256	0.2263676499
257	0.2260917921
258	0.2257697471
259	0.2253809027
260	0.2250692599
261	0.2246904011
262	0.2243699733
263	0.2241234174
264	0.2239053441
265	0.2236100154
266	0.2232625113
267	0.2229378557
268	0.2225828502
269	0.2222158026
270	0.2215456348
271	0.2212527298
272	0.2209594427
273	0.2206635643
274	0.2202244833
275	0.2199172501
276	0.2196659329
277	0.2192637251
278	0.2190728351
279	0.2187525823
280	0.2184968168
281	0.2181536509
282	0.2178687532
283	0.2174918319
284	0.2171191732
285	0.2169753687
286	0.2167455684
287	0.2165529501
288	0.2162271433
289	0.21597938
290	0.215615749
291	0.215359419
292	0.2149255665
293	0.2146484113
294	0.2144753102
295	0.2142133619
296	0.2139673597
297	0.2136665728
298	0.2134300426
299	0.213302587
300	0.2129445206
301	0.2126015839
302	0.2123550341
303	0.2120318642
304	0.2117839959
305	0.2114095626
306	0.2111566962
307	0.2109039849
308	0.2106274504
309	0.2104382786
310	0.2101475524
311	0.2098704744
312	0.2096768179
313	0.2094024531
314	0.209102516
315	0.2087838174
316	0.2085522751
317	0.2082229255
318	0.208054322
319	0.2077063347
320	0.2076213762
321	0.2071647318
322	0.206977193
323	0.2067868408
324	0.2065394369
325	0.2061977835
326	0.2058228129
327	0.2055116638
328	0.2053656022
329	0.2051211444
330	0.2047016227
